reference	ref_length	mean_coverage	std_coverage	pct_covered
kraken:taxid|109010	15293	0.01	0.17	0.71
kraken:taxid|109013	15296	0.01	0.15	0.24
kraken:taxid|109015	15295	0.00	0.04	0.17
kraken:taxid|109020	15301	0.01	0.10	0.38
kraken:taxid|109044	16692	0.00	0.12	0.18
kraken:taxid|1090881	20370	0.00	0.10	0.16
kraken:taxid|109290	16525	0.01	0.13	0.19
kraken:taxid|109296	16361	0.01	0.17	0.21
kraken:taxid|1093616	17208	0.00	0.09	0.20
kraken:taxid|109390	16773	0.01	0.20	0.45
kraken:taxid|1094199	17077	0.02	0.29	0.61
kraken:taxid|109454	16727	0.00	0.08	0.17
kraken:taxid|109461	16476	0.00	0.04	0.16
kraken:taxid|1095183	43486	0.02	0.27	0.67
kraken:taxid|109609	14817	0.00	0.04	0.20
kraken:taxid|109634	161145	0.04	1.89	0.36
kraken:taxid|109699	16485	0.07	1.44	0.44
kraken:taxid|109741	16313	0.02	0.50	0.17
kraken:taxid|1100830	15747	0.00	0.04	0.17
kraken:taxid|110109	19053	0.01	0.19	0.16
kraken:taxid|1104243	16601	0.00	0.04	0.18
kraken:taxid|1104407	42608	0.01	0.09	0.71
kraken:taxid|1105340	23794	0.16	2.39	1.11
kraken:taxid|110576	30041	0.02	0.25	0.97
kraken:taxid|110668	18959	0.01	0.17	0.57
kraken:taxid|110763	93473	0.01	0.15	0.25
kraken:taxid|1108005	17517	0.01	0.11	0.28
kraken:taxid|110926	16728	0.00	0.12	0.16
kraken:taxid|111132	17702	0.01	0.16	0.16
kraken:taxid|1112382	14205	0.00	0.04	0.18
kraken:taxid|1112448	14156	0.00	0.04	0.19
kraken:taxid|1112466	14325	0.01	0.13	0.20
kraken:taxid|1112836	16903	0.00	0.04	0.18
kraken:taxid|111452	17484	0.00	0.06	0.34
kraken:taxid|111463	62483	0.12	2.43	0.67
kraken:taxid|1114780	15747	0.00	0.08	0.17
kraken:taxid|1115533	37765	0.00	0.04	0.17
kraken:taxid|111670	59116	0.00	0.05	0.26
kraken:taxid|111810	17555	0.01	0.15	0.38
kraken:taxid|111821	18632	0.01	0.13	0.31
kraken:taxid|1118519	17089	0.00	0.04	0.20
kraken:taxid|1118560	16781	0.04	0.48	0.58
kraken:taxid|111863	15778	0.00	0.09	0.19
kraken:taxid|1118817	16660	0.00	0.04	0.19
kraken:taxid|112090	49489	0.00	0.19	0.12
kraken:taxid|112162	16635	0.00	0.04	0.16
kraken:taxid|112267	15429	0.00	0.04	0.17
kraken:taxid|1123824	16707	0.00	0.08	0.18
kraken:taxid|1124550	16444	0.04	1.06	0.23
kraken:taxid|1125678	18182	0.00	0.08	0.16
kraken:taxid|112612	33027	0.00	0.03	0.11
kraken:taxid|1126715	15640	0.00	0.04	0.17
kraken:taxid|1126719	15477	0.01	0.25	0.26
kraken:taxid|1126725	15550	0.01	0.22	0.48
kraken:taxid|112863	413881	0.02	0.40	0.62
kraken:taxid|113049	15475	0.00	0.05	0.27
kraken:taxid|113071	143271	0.00	0.07	0.13
kraken:taxid|113103	16612	0.01	0.26	0.25
kraken:taxid|1131944	16527	0.02	0.45	0.32
kraken:taxid|113210	454165	0.04	0.53	0.86
kraken:taxid|1132478	16739	0.29	5.39	0.49
kraken:taxid|113276	16583	0.01	0.13	0.19
kraken:taxid|113277	16710	0.00	0.09	0.19
kraken:taxid|1133302	143664	0.00	0.01	0.02
kraken:taxid|113602	94261	0.01	0.23	0.22
kraken:taxid|113636	783442	0.00	0.01	0.00
kraken:taxid|1136799	16574	0.01	0.22	0.19
kraken:taxid|1136883	34709	0.00	0.06	0.10
kraken:taxid|1137640	15132	0.09	1.88	0.24
kraken:taxid|1140402	99386	0.01	0.11	0.41
kraken:taxid|114155	65621	0.00	0.10	0.28
kraken:taxid|1142236	16514	0.00	0.04	0.19
kraken:taxid|114276	17003	0.98	9.50	3.10
kraken:taxid|1143072	17278	0.01	0.20	0.16
kraken:taxid|1143114	18985	0.00	0.04	0.14
kraken:taxid|1143185	33299	0.06	1.64	0.20
kraken:taxid|114331	17089	0.55	4.46	5.84
kraken:taxid|114383	17035	0.21	2.77	2.24
kraken:taxid|114505	16975	0.00	0.04	0.15
kraken:taxid|114524	72095	0.02	0.85	0.18
kraken:taxid|114525	73485	0.02	0.73	0.44
kraken:taxid|114526	77380	0.01	0.26	0.20
kraken:taxid|114594	15908	0.12	2.25	0.93
kraken:taxid|1146932	14932	0.00	0.04	0.18
kraken:taxid|1146954	16490	0.00	0.04	0.16
kraken:taxid|114742	54989	0.00	0.06	0.35
kraken:taxid|1147743	16425	0.00	0.05	0.22
kraken:taxid|1150654	17421	0.01	0.17	0.34
kraken:taxid|1151444	178540	0.15	4.74	0.71
kraken:taxid|115272	15248	0.01	0.17	0.17
kraken:taxid|115334	15961	0.02	0.36	0.24
kraken:taxid|1155016	15363	0.00	0.05	0.21
kraken:taxid|1155129	34877	0.00	0.03	0.08
kraken:taxid|1156347	17875	0.01	0.12	0.17
kraken:taxid|1156456	102950	0.08	3.45	0.55
kraken:taxid|115648	17880	0.00	0.12	0.16
kraken:taxid|1156965	27694	0.02	0.36	0.29
kraken:taxid|115700	16966	0.00	0.07	0.49
kraken:taxid|115833	16295	0.00	0.04	0.17
kraken:taxid|1158787	15891	0.00	0.05	0.26
kraken:taxid|1158923	482114	0.01	0.18	0.19
kraken:taxid|1159701	16323	0.28	6.35	0.20
kraken:taxid|1160506	29192	0.07	0.70	2.86
kraken:taxid|116065	32351	0.00	0.05	0.06
kraken:taxid|1160851	16909	0.01	0.11	0.67
kraken:taxid|1160894	16883	0.00	0.04	0.20
kraken:taxid|1163344	16232	0.00	0.04	0.16
kraken:taxid|1163345	16298	0.01	0.20	0.20
kraken:taxid|1164558	18458	0.01	0.13	0.20
kraken:taxid|1165086	330962	0.00	0.03	0.04
kraken:taxid|1167592	60841	0.02	0.51	0.23
kraken:taxid|1167813	29253	0.37	11.41	0.75
kraken:taxid|1167814	43599	0.03	1.09	0.20
kraken:taxid|116794	75318	0.07	1.26	2.10
kraken:taxid|116851	17328	0.06	1.48	0.36
kraken:taxid|1168657	15184	0.00	0.08	0.17
kraken:taxid|116992	16818	0.03	0.81	0.18
kraken:taxid|117010	65087	2.57	109.21	0.67
kraken:taxid|117018	43328	0.01	0.09	0.41
kraken:taxid|1170321	15056	0.10	2.35	0.21
kraken:taxid|117066	99774	0.24	12.54	0.44
kraken:taxid|117070	126794	0.61	37.18	0.26
kraken:taxid|117165	16901	0.03	0.26	1.10
kraken:taxid|117179	59352	0.01	0.18	0.27
kraken:taxid|117187	53753	0.01	0.07	0.53
kraken:taxid|1173061	29008	0.17	0.85	4.63
kraken:taxid|1173714	67340	0.00	0.14	0.04
kraken:taxid|1174671	257290	1.67	138.91	0.35
kraken:taxid|1174673	272238	0.09	6.57	0.32
kraken:taxid|117523	37399	0.00	0.03	0.08
kraken:taxid|1176341	15115	0.03	0.68	0.21
kraken:taxid|117820	126474	0.09	2.49	0.36
kraken:taxid|1178367	15368	0.00	0.04	0.20
kraken:taxid|118131	16647	0.02	0.31	0.26
kraken:taxid|118200	16840	0.02	0.47	0.21
kraken:taxid|118254	16073	0.04	0.90	0.17
kraken:taxid|118255	18365	0.00	0.04	0.17
kraken:taxid|1182648	15086	0.03	0.63	0.24
kraken:taxid|118266	33926	0.00	0.04	0.20
kraken:taxid|1183396	16475	0.00	0.08	0.18
kraken:taxid|1183399	16687	0.29	6.78	0.18
kraken:taxid|118357	802707	0.00	0.01	0.00
kraken:taxid|1185500	16312	0.07	1.67	0.18
kraken:taxid|118702	348585	0.00	0.06	0.10
kraken:taxid|1187023	16159	0.01	0.17	0.33
kraken:taxid|118785	16855	0.23	5.16	0.33
kraken:taxid|1188126	15213	0.00	0.04	0.17
kraken:taxid|1195128	2290019	0.08	12.78	0.05
kraken:taxid|119562	16437	0.01	0.16	0.16
kraken:taxid|1196223	16895	0.00	0.06	0.41
kraken:taxid|1196302	16894	0.01	0.25	0.17
kraken:taxid|1196305	16857	0.00	0.04	0.15
kraken:taxid|1196467	266735	0.00	0.01	0.02
kraken:taxid|119669	16326	0.00	0.08	0.16
kraken:taxid|119676	24105	0.16	1.86	1.93
kraken:taxid|119694	16508	0.00	0.08	0.18
kraken:taxid|1197313	15865	0.01	0.16	0.16
kraken:taxid|1198227	16246	0.01	0.21	0.18
kraken:taxid|1199184	14355	0.00	0.09	0.22
kraken:taxid|119927	64359	0.04	0.35	1.44
kraken:taxid|119954	391595	0.00	0.03	0.06
kraken:taxid|1200235	15701	0.74	16.96	0.36
kraken:taxid|1200249	15643	0.00	0.04	0.20
kraken:taxid|120091	14602	0.01	0.22	0.20
kraken:taxid|1201171	15630	0.01	0.19	0.50
kraken:taxid|120215	16576	0.00	0.04	0.16
kraken:taxid|1202772	46840	0.00	0.09	0.20
kraken:taxid|120508	18006	0.03	0.74	0.21
kraken:taxid|120570	16848	0.01	0.16	0.41
kraken:taxid|1205703	327921	0.00	0.26	0.06
kraken:taxid|1206065	16728	0.08	1.58	0.27
kraken:taxid|1208065	74423	0.49	20.78	0.28
kraken:taxid|1208345	117243	0.00	0.04	0.10
kraken:taxid|120870	15954	0.01	0.09	0.35
kraken:taxid|1209931	33950	0.00	0.06	0.09
kraken:taxid|1209934	30824	0.00	0.10	0.22
kraken:taxid|121045	39362	0.00	0.16	0.07
kraken:taxid|121082	535805	0.00	0.13	0.17
kraken:taxid|121088	241739	0.05	4.30	0.04
kraken:taxid|1211648	16581	0.00	0.04	0.17
kraken:taxid|121214	15400	0.00	0.09	0.21
kraken:taxid|121285	16188	0.00	0.09	0.19
kraken:taxid|1213857	36318	0.05	0.72	0.60
kraken:taxid|121492	18402	0.04	0.56	0.64
kraken:taxid|121494	20260	0.04	0.79	0.34
kraken:taxid|1217552	16143	0.01	0.28	0.16
kraken:taxid|121759	71335	0.31	8.12	1.33
kraken:taxid|1217618	16138	0.01	0.10	0.39
kraken:taxid|1220309	16986	0.00	0.08	0.16
kraken:taxid|122218	395542	0.00	0.04	0.03
kraken:taxid|122310	900031	0.00	0.11	0.11
kraken:taxid|1223488	14394	0.01	0.10	0.30
kraken:taxid|1223490	15589	0.00	0.04	0.18
kraken:taxid|122368	27789	0.24	1.34	7.64
kraken:taxid|1223897	15551	0.00	0.07	0.44
kraken:taxid|1225177	41379	0.03	0.40	0.71
kraken:taxid|1226010	30906	0.94	8.66	6.99
kraken:taxid|1227364	37405	0.05	1.55	0.32
kraken:taxid|122765	16557	0.00	0.05	0.24
kraken:taxid|1229496	15216	0.00	0.04	0.18
kraken:taxid|1229843	19312	0.16	1.96	0.84
kraken:taxid|1230761	16040	0.00	0.08	0.16
kraken:taxid|1231344	16823	0.00	0.04	0.17
kraken:taxid|1232061	15376	0.01	0.13	0.18
kraken:taxid|1233216	16677	0.01	0.18	0.37
kraken:taxid|1233435	56044	0.00	0.09	0.19
kraken:taxid|123379	17023	1.17	10.18	4.78
kraken:taxid|1236707	16954	0.00	0.08	0.16
kraken:taxid|1236722	15281	0.10	2.47	0.17
kraken:taxid|123737	16584	0.02	0.28	0.45
kraken:taxid|123797	16552	0.00	0.08	0.16
kraken:taxid|1238391	195026	0.00	0.06	0.10
kraken:taxid|1240562	16461	0.01	0.18	0.19
kraken:taxid|1240982	15331	0.01	0.17	0.37
kraken:taxid|1242752	14960	0.00	0.04	0.17
kraken:taxid|1243175	16495	0.00	0.09	0.22
kraken:taxid|1245213	15637	0.00	0.08	0.18
kraken:taxid|1245649	265604	0.00	0.21	0.09
kraken:taxid|1247161	16624	0.10	1.78	0.60
kraken:taxid|1247388	16123	0.00	0.04	0.17
kraken:taxid|1247861	23567	0.16	3.03	1.26
kraken:taxid|1248153	15205	0.02	0.39	0.19
kraken:taxid|125058	16671	0.22	5.28	0.17
kraken:taxid|125286	16802	0.03	0.64	0.18
kraken:taxid|125294	16796	0.00	0.04	0.15
kraken:taxid|1254967	15348	0.00	0.04	0.17
kraken:taxid|1254969	15899	0.00	0.12	0.16
kraken:taxid|1255173	13680	0.06	0.65	1.64
kraken:taxid|1257098	14789	0.00	0.05	0.21
kraken:taxid|1257147	24945	0.06	0.38	3.34
kraken:taxid|1258644	16361	0.00	0.04	0.17
kraken:taxid|1261036	15746	0.00	0.08	0.17
kraken:taxid|1261582	25337	0.01	0.13	0.52
kraken:taxid|1262161	37023	0.00	0.03	0.07
kraken:taxid|1262671	37341	0.00	0.05	0.07
kraken:taxid|126356	17201	0.01	0.13	0.20
kraken:taxid|126418	535692	0.01	0.24	0.29
kraken:taxid|126429	658522	0.02	0.28	0.57
kraken:taxid|1264638	15355	0.05	1.06	0.21
kraken:taxid|1264641	15589	0.00	0.04	0.17
kraken:taxid|126655	17825	0.00	0.04	0.15
kraken:taxid|1266862	16519	0.00	0.04	0.18
kraken:taxid|1267209	372339	0.01	1.41	0.02
kraken:taxid|126820	447106	0.00	0.01	0.01
kraken:taxid|126827	17413	0.01	0.10	0.38
kraken:taxid|126857	16208	0.03	0.56	0.30
kraken:taxid|126859	17389	0.01	0.14	0.21
kraken:taxid|126865	16748	0.15	2.21	0.81
kraken:taxid|126871	17065	0.01	0.08	0.61
kraken:taxid|126911	475396	0.02	0.51	0.68
kraken:taxid|127003	14681	0.02	0.45	0.22
kraken:taxid|127258	15192	0.02	0.37	0.21
kraken:taxid|1273117	16063	0.00	0.05	0.27
kraken:taxid|127404	16183	0.00	0.08	0.17
kraken:taxid|127405	16236	0.03	0.80	0.20
kraken:taxid|127406	15551	0.00	0.05	0.21
kraken:taxid|127563	24009	0.00	0.05	0.23
kraken:taxid|1277749	16960	0.01	0.14	0.21
kraken:taxid|1278899	35763	0.01	0.19	0.28
kraken:taxid|1279004	16558	0.01	0.17	0.36
kraken:taxid|127929	16845	0.01	0.22	0.20
kraken:taxid|1280432	15410	0.01	0.13	0.40
kraken:taxid|1281577	41938	0.00	0.04	0.18
kraken:taxid|1282961	16727	0.01	0.12	0.17
kraken:taxid|128390	16732	0.09	0.85	1.57
kraken:taxid|1284215	16443	0.00	0.06	0.33
kraken:taxid|128449	15337	0.01	0.13	0.46
kraken:taxid|1286318	106358	0.00	0.04	0.04
kraken:taxid|128735	270143	0.00	0.01	0.01
kraken:taxid|1288119	92107	0.29	16.29	0.33
kraken:taxid|128967	16454	0.02	0.35	0.19
kraken:taxid|128968	14938	0.81	16.60	0.26
kraken:taxid|1290591	59014	0.08	2.02	0.53
kraken:taxid|129105	16022	0.01	0.22	0.23
kraken:taxid|1291224	15370	0.01	0.18	0.20
kraken:taxid|1291247	14991	0.02	0.28	0.36
kraken:taxid|1291384	16449	0.02	0.37	0.32
kraken:taxid|129247	16282	0.00	0.05	0.21
kraken:taxid|12930	18853	0.01	0.16	0.34
kraken:taxid|129350	41297	0.01	0.07	0.53
kraken:taxid|129355	38507	0.00	0.12	0.21
kraken:taxid|129452	15005	0.02	0.34	0.25
kraken:taxid|1295081	15714	0.00	0.04	0.17
kraken:taxid|1295181	52184	0.01	0.19	0.24
kraken:taxid|129524	34094	0.02	0.40	0.74
kraken:taxid|1296548	16719	0.06	1.01	0.41
kraken:taxid|1299298	16156	0.04	0.71	0.51
kraken:taxid|12993	15949	0.00	0.04	0.19
kraken:taxid|13006	1108460	0.00	0.10	0.14
kraken:taxid|130081	21428	0.01	0.23	0.57
kraken:taxid|1302145	16893	0.01	0.08	0.65
kraken:taxid|1302316	16836	0.00	0.04	0.17
kraken:taxid|1302777	16663	0.00	0.04	0.17
kraken:taxid|130285	403806	0.24	28.79	0.02
kraken:taxid|1303443	76558	0.04	0.40	1.37
kraken:taxid|1303587	67437	0.08	3.46	0.77
kraken:taxid|13037	15314	0.00	0.04	0.17
kraken:taxid|1304780	15328	0.00	0.04	0.18
kraken:taxid|130512	412026	0.00	0.07	0.12
kraken:taxid|1305651	16221	0.01	0.16	0.16
kraken:taxid|130583	15971	0.15	3.31	0.38
kraken:taxid|130616	15553	0.08	1.91	0.17
kraken:taxid|130627	16016	0.00	0.04	0.13
kraken:taxid|130630	15457	0.15	3.32	0.52
kraken:taxid|1306428	15166	0.18	4.24	0.22
kraken:taxid|130648	16019	0.83	20.17	0.34
kraken:taxid|1308479	15536	0.03	0.65	0.19
kraken:taxid|1308480	16121	0.02	0.32	0.52
kraken:taxid|1308491	15196	0.00	0.05	0.22
kraken:taxid|1308599	16330	0.00	0.05	0.28
kraken:taxid|1309042	16182	0.02	0.48	0.17
kraken:taxid|1309151	16085	0.00	0.08	0.16
kraken:taxid|1309217	16054	0.01	0.17	0.17
kraken:taxid|1309234	16148	0.01	0.33	0.17
kraken:taxid|1309317	16083	0.01	0.13	0.18
kraken:taxid|1309363	16149	0.01	0.09	0.76
kraken:taxid|1309380	16212	0.00	0.08	0.17
kraken:taxid|130991	61645	0.01	0.22	0.27
kraken:taxid|13142	15436	0.44	8.62	0.34
kraken:taxid|13146	18193	0.00	0.10	0.25
kraken:taxid|131541	58585	0.01	0.22	0.25
kraken:taxid|13180	16781	0.00	0.09	0.19
kraken:taxid|1318717	1325814	0.00	0.56	0.03
kraken:taxid|1318718	935732	0.00	0.06	0.01
kraken:taxid|13191	15202	0.00	0.04	0.18
kraken:taxid|132186	49705	0.00	0.02	0.06
kraken:taxid|132259	29736	0.17	1.17	4.97
kraken:taxid|1323754	116310	0.00	0.02	0.05
kraken:taxid|132389	13641	1.00	20.49	0.24
kraken:taxid|13245	16854	0.21	4.43	0.23
kraken:taxid|13286	15913	0.00	0.04	0.19
kraken:taxid|13291	115162	0.00	0.08	0.06
kraken:taxid|1329480	14554	0.01	0.13	0.40
kraken:taxid|1329481	14477	0.00	0.08	0.18
kraken:taxid|1330343	39325	0.00	0.11	0.15
kraken:taxid|133065	24090	0.00	0.07	0.12
kraken:taxid|133082	15640	0.40	9.36	0.22
kraken:taxid|1332184	15354	0.10	2.18	0.56
kraken:taxid|1332185	14655	0.78	18.37	0.66
kraken:taxid|1335017	37617	0.00	0.09	0.08
kraken:taxid|13353	16506	0.00	0.09	0.18
kraken:taxid|13368	30058	0.03	0.65	0.26
kraken:taxid|1337138	15361	0.02	0.54	0.35
kraken:taxid|1339972	36644	0.02	0.31	0.34
kraken:taxid|1340010	35855	0.03	0.46	0.88
kraken:taxid|1341201	49363	0.01	0.15	0.27
kraken:taxid|13427	306009	0.28	29.15	0.06
kraken:taxid|13429	900894	0.01	0.94	0.02
kraken:taxid|1343345	16439	0.17	4.07	0.18
kraken:taxid|134526	803609	0.00	0.08	0.09
kraken:taxid|134558	55918	0.00	0.04	0.05
kraken:taxid|1346269	15377	0.01	0.21	0.45
kraken:taxid|1346812	64279	0.01	0.14	0.26
kraken:taxid|1348077	15030	0.01	0.15	0.25
kraken:taxid|134933	23035	0.01	0.18	0.13
kraken:taxid|1350006	115473	0.00	0.13	0.23
kraken:taxid|1350454	14990	0.00	0.05	0.21
kraken:taxid|135165	17205	0.03	0.76	0.37
kraken:taxid|135176	18295	0.11	3.01	0.15
kraken:taxid|135184	16998	0.00	0.04	0.18
kraken:taxid|135208	86407	0.03	0.90	0.23
kraken:taxid|135430	17855	0.00	0.05	0.27
kraken:taxid|13551	16369	0.07	1.62	0.27
kraken:taxid|135595	15013	0.00	0.04	0.18
kraken:taxid|13563	108878	0.00	0.17	0.09
kraken:taxid|135651	14212	0.01	0.18	0.21
kraken:taxid|135833	33514	0.01	0.32	0.18
kraken:taxid|136089	47328	0.02	0.34	0.98
kraken:taxid|13612	773377	0.00	0.01	0.01
kraken:taxid|136204	279265	0.02	1.10	0.28
kraken:taxid|136281	76322	0.06	1.34	0.63
kraken:taxid|13632	15945	0.02	0.28	0.48
kraken:taxid|13642	47653	0.16	2.60	0.64
kraken:taxid|1364862	16803	0.00	0.05	0.21
kraken:taxid|1367338	15859	0.01	0.13	0.32
kraken:taxid|13674	1101768	0.00	0.06	0.03
kraken:taxid|13715	856059	0.00	0.07	0.08
kraken:taxid|137221	302993	0.00	0.02	0.04
kraken:taxid|1373157	15346	0.01	0.25	0.18
kraken:taxid|13750	459678	0.01	0.42	0.05
kraken:taxid|137541	17112	0.17	1.44	2.35
kraken:taxid|1375902	15374	0.00	0.08	0.17
kraken:taxid|1376450	15904	0.00	0.05	0.22
kraken:taxid|1378109	15928	0.01	0.24	0.16
kraken:taxid|1378264	46416	0.00	0.11	0.25
kraken:taxid|138025	698138	0.00	0.04	0.04
kraken:taxid|13805	141276	0.00	0.05	0.06
kraken:taxid|1380851	16927	0.06	1.36	0.17
kraken:taxid|13813	184908	0.00	0.04	0.02
kraken:taxid|1381934	41693	0.44	2.38	7.51
kraken:taxid|1381935	45405	0.51	2.56	8.44
kraken:taxid|1382212	17362	0.01	0.21	0.18
kraken:taxid|138285	39268	1.23	7.69	12.83
kraken:taxid|138550	16737	0.00	0.09	0.19
kraken:taxid|138705	16661	0.12	2.62	0.21
kraken:taxid|1387563	50704	0.59	6.90	3.19
kraken:taxid|1389228	21792	0.02	0.32	0.32
kraken:taxid|13894	678653	0.00	0.19	0.11
kraken:taxid|1390563	15306	0.00	0.05	0.22
kraken:taxid|1390634	16585	0.00	0.04	0.19
kraken:taxid|1391043	49474	0.01	0.16	0.18
kraken:taxid|1391560	15814	0.01	0.24	0.16
