rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
VYXB01000111.1	1	2163	2	85	3.92973	0.0614887	39.9	35
VYXB01000112.1	1	55067	3133	14285	25.9411	3.6981	39.4	13.1
VYXB01000113.1	1	1047	1	42	4.01146	0.0401146	40	0
VYXB01000114.1	1	983463	10554	296040	30.1018	0.709184	39.4	22.7
VYXB01000115.1	1	148648	1135	35462	23.8564	0.495869	39.5	18.2
VYXB01000116.1	1	1156	6	156	13.4948	0.311419	39.9	7.33
VYXB01000117.1	1	798	1	60	7.5188	0.075188	40	5
VYXB01000118.1	1	599	3140	142	23.7062	336.703	38.5	1.85
VYXB01000119.1	1	93541	948	22622	24.184	0.680963	39.3	14
VYXB01000120.1	1	38731	288	9186	23.7174	0.505848	39.5	17.7
VYXB01000121.1	1	2782	606	1647	59.202	14.7926	39.4	13.5
VYXB01000122.1	1	441159	4399	133579	30.2791	0.682212	39.4	23.2
VYXB01000123.1	1	1299761	12597	375103	28.8594	0.650158	39.5	21.3
VYXB01000124.1	1	279098	2647	67212	24.0819	0.609395	39.3	16.8
VYXB01000125.1	1	406670	4377	102055	25.0953	0.690644	38.7	15.3
VYXB01000126.1	1	641134	6350	189126	29.4987	0.648443	39.5	21.7
VYXB01000127.1	1	41173	601	9812	23.8312	0.816676	39	11
VYXB01000128.1	1	344277	3261	94052	27.3187	0.609152	39.5	17.9
VYXB01000129.1	1	412628	3707	107938	26.1587	0.582144	39.4	19.2
VYXB01000130.1	1	719114	7117	194623	27.0643	0.678641	39.4	18.6
VYXB01000131.1	1	289785	36987	64722	22.3345	13.6454	38.6	2.38
VYXB01000133.1	1	6756	44	568	8.40734	0.357904	39.6	4.43
VYXB01000134.1	1	8200	32	990	12.0732	0.242195	38.9	13.2
VYXB01000135.1	1	523986	6604	142066	27.1126	0.791048	39.2	15
VYXB01000136.1	1	461076	4167	124824	27.0723	0.604443	39.4	21.8
VYXB01000137.1	1	751821	19631	205649	27.3535	2.18462	39.4	7.7
VYXB01000139.1	1	12218	47	789	6.45769	0.231298	39.5	4.49
VYXB01000140.1	1	322851	3175	98553	30.5258	0.655271	39.5	23.8
VYXB01000142.1	1	121114	970	24550	20.2702	0.520889	39.6	16.5
VYXB01000143.1	1	5932	27	657	11.0755	0.274612	38	3.96
VYXB01000144.1	1	231903	1807	58385	25.1765	0.547013	39.5	21.1
VYXB01000145.1	1	7594	39	770	10.1396	0.271135	39.6	15.7
VYXB01000146.1	1	234259	1734	52049	22.2186	0.506858	39.5	18.5
VYXB01000147.1	1	192737	1827	56099	29.1065	0.662504	39.5	21.1
VYXB01000148.1	1	88713	777	23875	26.9126	0.544914	39.4	16.4
VYXB01000149.1	1	162174	1499	42795	26.3883	0.623047	39.6	16.8
VYXB01000150.1	1	13227	75	2364	17.8725	0.430786	39.5	21.8
VYXB01000151.1	1	636	3	63	9.90566	0.29717	39.9	5
VYXB01000152.1	1	22954	443	4675	20.3668	1.23203	39.1	13.1
VYXB01000154.1	1	519558	5210	155723	29.9722	0.666653	39.5	21.7
VYXB01000155.1	1	17556	124	3596	20.483	0.519481	39.7	23.2
VYXB01000156.1	1	154049	1577	45024	29.2271	0.682017	39.5	19.9
VYXB01000157.1	1	268528	4704	71792	26.7354	1.31281	38.9	10.6
VYXB01000158.1	1	726	2	42	5.78512	0.115702	39.6	3
VYXB01000159.1	1	9837	26	512	5.20484	0.129409	39.6	6.38
VYXB01000160.1	1	2076	4	112	5.39499	0.0857418	37.4	4.5
VYXB01000161.1	1	3090	7	187	6.05178	0.124919	39.7	9.29
VYXB01000162.1	1	226078	2976	67186	29.7181	0.805213	39	17
VYXB01000163.1	1	522204	5362	142279	27.2459	0.638507	38.6	18.4
VYXB01000164.1	1	51313	306	9715	18.9328	0.390876	39.5	15.8
VYXB01000166.1	1	4514	55	349	7.7315	0.786442	39.3	1.49
VYXB01000167.1	1	8035	675	960	11.9477	5.9476	39.6	12.3
VYXB01000168.1	1	85658	828	23884	27.883	0.617806	39.5	19.4
VYXB01000169.1	1	40542	324	11014	27.1669	0.546199	39.6	23.3
VYXB01000170.1	1	623	7	171	27.4478	0.451043	39.2	0.714
VYXB01000171.1	1	32101	408	5014	15.6195	0.634902	39.4	6.32
VYXB01000172.1	1	125635	1311	42092	33.5034	0.704262	39.5	23.2
VYXB01000173.1	1	8630	377	1964	22.7578	2.65481	39.6	14.9
VYXB01000174.1	1	38335	366	10882	28.3866	0.640981	39.4	21.4
VYXB01000175.1	1	855	2	43	5.02924	0.100585	39.4	1
VYXB01000176.1	1	792	1	30	3.78788	0.0378788	40	0
VYXB01000177.1	1	335082	3579	81069	24.1938	0.611158	38.6	15.6
VYXB01000178.1	1	13127	77	1846	14.0626	0.342272	39.8	13.2
VYXB01000179.1	1	25677	327	5902	22.9856	0.826265	39.4	7.69
VYXB01000180.1	1	1429	2	118	8.25752	0.0825752	38.5	11.5
VYXB01000181.1	1	4566	98	937	20.5212	1.46868	39.6	8.09
VYXB01000182.1	1	29271	235	7421	25.3527	0.589491	39.7	18.6
VYXB01000183.1	1	3332	17	661	19.8379	0.363445	39.7	21.2
VYXB01000184.1	1	4938	27	505	10.2268	0.287768	39.4	8.44
VYXB01000185.1	1	689807	6686	203558	29.5094	0.652897	39.5	22
VYXB01000187.1	1	154462	1225	41488	26.8597	0.537161	39.6	22.6
VYXB01000189.1	1	6994	48	1644	23.5059	0.476265	39.6	17.7
VYXB01000190.1	1	31030	305	9190	29.6165	0.650016	39.6	19.7
VYXB01000192.1	1	13027	58	857	6.57864	0.246949	38.7	5.88
VYXB01000193.1	1	5780	2	89	1.53979	0.0226644	39.9	6
VYXB01000195.1	1	1084	2	88	8.11808	0.162362	39.7	0
VYXB01000196.1	1	8675	48	1676	19.3199	0.341556	39.8	22.3
VYXB01000197.1	1	81442	906	27391	33.6325	0.77325	39.6	26.5
VYXB01000198.1	1	31308	255	7412	23.6745	0.50543	39.4	16.7
VYXB01000199.1	1	3451	30	684	19.8203	0.492031	39.2	8.5
VYXB01000200.1	1	994	2	65	6.53924	0.130785	32	1
VYXB01000201.1	1	2847	11	317	11.1345	0.234282	38.7	14.4
VYXB01000203.1	1	3827	6	141	3.68435	0.102953	39.7	13.2
VYXB01000204.1	1	2080	2	40	1.92308	0.0384615	39	4
VYXB01000206.1	1	1056	96	363	34.375	6.2197	39.5	6.31
VYXB01000207.1	1	8834	49	1707	19.3231	0.343106	39.4	9.53
VYXB01000208.1	1	88122	773	25537	28.9791	0.571265	39.5	23
VYXB01000209.1	1	872	46	132	15.1376	2.20986	39.4	2.7
VYXB01000210.1	1	732	6	95	12.9781	0.393443	39.9	5.67
VYXB01000211.1	1	2253	9	158	7.01287	0.228584	39.8	4
VYXB01000212.1	1	567	1	81	14.2857	0.142857	31.4	13
VYXB01000213.1	1	2317	1	46	1.98533	0.0198533	40	5
VYXB01000214.1	1	397	5	92	23.1738	0.916877	39.9	5.6
VYXB01000219.1	1	4122	8	291	7.05968	0.128336	39.7	17.1
VYXB01000220.1	1	840	3	49	5.83333	0.175	40	12
VYXB01000221.1	1	572	3	96	16.7832	0.298951	40	33.7
VYXB01000222.1	1	526	45	210	39.924	3.24525	38.2	4.38
VYXB01000223.1	1	968	3	109	11.2603	0.14876	37.8	0
VYXB01000224.1	1	799	4	116	14.5181	0.227785	39	4.5
VYXB01000225.1	1	2015	53	151	7.4938	1.42432	39.2	5.83
VYXB01000227.1	1	2668	16	387	14.5052	0.405922	39.8	6.75
VYXB01000229.1	1	1139	7	138	12.1159	0.401229	39	42.6
VYXB01000230.1	1	736	3	160	21.7391	0.217391	40	9.33
VYXB01000231.1	1	4827	35	1233	25.5438	0.457013	39.5	25.4
VYXB01000232.1	1	5126	71	712	13.89	0.957862	38.2	8.35
VYXB01000233.1	1	3455	4	118	3.41534	0.0480463	39.9	1
VYXB01000234.1	1	669	2	134	20.0299	0.203288	39.9	3
VYXB01000236.1	1	5250	44	1547	29.4667	0.578667	39.7	17.2
VYXB01000237.1	1	1224	6	79	6.45425	0.207516	39.9	4.33
VYXB01000238.1	1	18425	140	4162	22.5889	0.489172	39.6	18.2
VYXB01000239.1	1	7574	44	1153	15.2231	0.393187	39.6	29.5
VYXB01000240.1	1	123778	4537	35287	28.5083	2.99957	39.4	5.49
VYXB01000241.1	1	11359	170	2153	18.9541	0.784488	38.8	7.38
VYXB01000242.1	1	386093	3721	110119	28.5214	0.629548	39.5	20.4
VYXB01000243.1	1	159187	1192	37761	23.7212	0.4895	39.4	20.7
VYXB01000244.1	1	408909	4742	131107	32.0626	0.743875	39.4	22.4
VYXB01000245.1	1	1195825	11731	327868	27.4177	0.629292	39.4	18.9
VYXB01000246.1	1	480306	5113	157926	32.8803	0.702005	39.5	23.5
VYXB01000247.1	1	7994	602	543	6.79259	3.16225	31	0.618
VYXB01000248.1	1	122990	903	28106	22.8523	0.509545	39.6	20.7
VYXB01000249.1	1	974113	10659	293629	30.1432	0.716184	39.5	20
VYXB01000250.1	1	25422	160	4541	17.8625	0.400559	39.5	16.7
VYXB01000251.1	1	1076464	10201	317770	29.5198	0.635023	39.5	21.3
VYXB01000252.1	1	938076	8706	249490	26.5959	0.598456	39.4	20.9
VYXB01000253.1	1	335833	3287	101418	30.1989	0.681184	39.5	22.7
VYXB01000254.1	1	5755	11	244	4.23979	0.109991	39.8	3.18
VYXB01000255.1	1	8308	37	959	11.5431	0.273471	39.8	1.51
VYXB01000256.1	1	149832	1364	42059	28.0708	0.62468	39.5	20.6
VYXB01000257.1	1	122626	1019	30770	25.0926	0.536159	39.5	21
VYXB01000258.1	1	406	1	47	11.5764	0.115764	40	8
VYXB01000259.1	1	2986	27	110	3.68386	0.400871	39.7	2.3
VYXB01000260.1	1	766	22	268	34.9869	1.66841	39	18.7
VYXB01000261.1	1	88317	875	22627	25.6202	0.582855	39.4	13.7
VYXB01000262.1	1	36918	788	7941	21.5098	1.15434	38.5	12.4
VYXB01000263.1	1	9493	13	277	2.91794	0.0773201	39.7	10.2
VYXB01000264.1	1	4422	45	1073	24.265	0.653324	39.6	13.8
VYXB01000265.1	1	46305	408	13360	28.8522	0.590433	39.5	20.6
VYXB01000266.1	1	138968	1701	47056	33.861	0.801336	39.5	21.4
VYXB01000267.1	1	48187	500	15402	31.963	0.677112	39.5	24.8
VYXB01000268.1	1	31723	415	12145	38.2845	0.908331	39.4	26
VYXB01000269.1	1	3148	7	129	4.09784	0.092122	39.9	6.14
VYXB01000270.1	1	4233	12	270	6.37845	0.136546	39.3	6.17
VYXB01000271.1	1	453	3	85	18.7638	0.289183	39.9	0.667
VYXB01000272.1	1	9467	64	945	9.98204	0.432027	39.4	1.66
VYXB01000273.1	1	572	7	123	21.5035	0.666084	39	10.9
VYXB01000274.1	1	58089	456	15867	27.315	0.542357	39.5	21.8
VYXB01000275.1	1	15371	349	4125	26.8363	0.975213	39.1	7.29
VYXB01000276.1	1	1246270	13786	399877	32.0859	0.715221	39.4	23.1
VYXB01000277.1	1	17248	109	3550	20.5821	0.448922	39.6	16.4
VYXB01000278.1	1	5498	5	230	4.18334	0.0418334	38.2	0.4
VYXB01000279.1	1	8903	65	1913	21.4871	0.441874	39.2	8.42
VYXB01000280.1	1	7844	81	2054	26.1856	0.654513	39.6	19.9
VYXB01000282.1	1	2978	8	120	4.02955	0.104433	37.8	4
VYXB01000284.1	1	212435	3478	48371	22.7698	1.04968	39.1	10.5
VYXB01000285.1	1	418	3	84	20.0957	0.444976	39.9	2.33
VYXB01000286.1	1	415	1	57	13.7349	0.137349	37.2	0
VYXB01000287.1	1	10064	93	2654	26.3712	0.531797	39.5	17.3
VYXB01000288.1	1	30638	180	5941	19.391	0.385143	39.4	17.1
VYXB01000289.1	1	4101	43	772	18.8247	0.574738	39.3	7.3
VYXB01000290.1	1	19758	117	3920	19.8401	0.384148	39.6	16.4
VYXB01000291.1	1	8270	87	755	9.12938	0.443773	38.8	5.15
VYXB01000292.1	1	456	32	255	55.9211	4.67105	39.5	9.81
VYXB01000293.1	1	9787	52	1674	17.1043	0.33381	39.6	19.2
VYXB01000294.1	1	521	1	75	14.3954	0.143954	37.3	1
VYXB01000297.1	1	3217	2	118	3.66801	0.0366801	39.9	0
VYXB01000299.1	1	495	14	74	14.9495	1.40202	39.7	1.71
VYXB01000301.1	1	2144	4	86	4.01119	0.0820896	39.8	6.5
VYXB01000302.1	1	523	5	104	19.8853	0.499044	39.8	1.6
VYXB01000303.1	1	1550	1	69	4.45161	0.0445161	39.6	0
VYXB01000304.1	1	9720	25	614	6.31687	0.117901	39.6	2.44
VYXB01000306.1	1	11897	72	1384	11.6332	0.396234	37.4	13.9
VYXB01000307.1	1	5305	98	1858	35.0236	1.40924	38.6	18.7
VYXB01000308.1	1	866	5	83	9.5843	0.248268	39.1	3.4
VYXB01000310.1	1	9560	23	1032	10.795	0.165481	39.3	19.2
VYXB01000311.1	1	3491	17	479	13.721	0.283873	39.4	20.6
VYXB01000315.1	1	495	3	89	17.9798	0.29899	40	14
VYXB01000317.1	1	101073	729	22098	21.8634	0.460499	39.5	18.7
VYXB01000319.1	1	3869	1	53	1.36986	0.0136986	38.5	5
VYXB01000320.1	1	5028	9	151	3.00318	0.0813445	39.3	15
VYXB01000321.1	1	40455	383	11681	28.8741	0.645507	39.5	21.5
VYXB01000322.1	1	676	3	134	19.8225	0.309172	40	11.7
VYXB01000323.1	1	1233	6	184	14.923	0.300081	38.8	6.33
VYXB01000324.1	1	879	2	85	9.67008	0.0967008	40	8.5
VYXB01000325.1	1	19520	176	5547	28.417	0.605533	39.6	21.4
VYXB01000326.1	1	402	1	112	27.8607	0.278607	40	0
VYXB01000327.1	1	3085	9	169	5.47812	0.179903	39.7	1.44
VYXB01000328.1	1	2992	4	159	5.31417	0.0895722	39.6	4.25
VYXB01000329.1	1	2301	43	149	6.47545	1.14559	39.4	0.651
VYXB01000330.1	1	455	5	138	30.3297	0.628571	37.9	2.4
VYXB01000332.1	1	439	1	30	6.83371	0.0683371	40	0
VYXB01000335.1	1	1985	1	50	2.51889	0.0251889	40	25
VYXB01000336.1	1	741	2	93	12.5506	0.251012	39.9	13
VYXB01000338.1	1	435	6	107	24.5977	0.622989	40	1.5
VYXB01000339.1	1	536	1	41	7.64925	0.0764925	39.6	5
VYXB01000340.1	1	1117	3	120	10.7431	0.178156	40	0
VYXB01000341.1	1	1414	9	330	23.338	0.434229	39.1	14.9
VYXB01000343.1	1	701	2	63	8.98716	0.0898716	40	2
VYXB01000344.1	1	508	6	95	18.7008	0.561024	39.2	12.5
VYXB01000345.1	1	19957	132	3929	19.6873	0.403317	39.7	14.7
VYXB01000346.1	1	938	2	72	7.67591	0.105544	39.5	4
VYXB01000347.1	1	712	1	52	7.30337	0.0730337	40	0
VYXB01000348.1	1	821	20	42	5.11571	0.822168	37.4	4.15
VYXB01000350.1	1	5699	53	1382	24.2499	0.641165	39.2	17.8
VYXB01000351.1	1	750	22	138	18.4	1.76533	39.9	2.77
VYXB01000352.1	1	9105	54	2023	22.2186	0.405272	39.4	17.1
VYXB01000353.1	1	2579	36	302	11.71	0.456766	39.6	2.11
VYXB01000354.1	1	2870	17	324	11.2892	0.365157	39.2	34.9
VYXB01000359.1	1	19758	148	4292	21.7228	0.440024	39.5	15.5
VYXB01000361.1	1	820	4	161	19.6341	0.196341	39.9	0
VYXB01000363.1	1	510	10	286	56.0784	1.27059	37.3	23.5
VYXB01000364.1	1	1197	8	224	18.7135	0.33584	39.5	7.12
VYXB01000365.1	1	879	1	93	10.5802	0.105802	39.8	0
VYXB01000366.1	1	45337	16583	13558	29.9049	31.0488	38.9	2.74
VYXB01000367.1	1	2901	15	347	11.9614	0.318511	39.8	0.6
VYXB01000368.1	1	1774	1	46	2.59301	0.0259301	39	22
VYXB01000369.1	1	459	1	49	10.6754	0.106754	40	10
VYXB01000370.1	1	780	8	135	17.3077	0.557692	39.2	13.4
VYXB01000371.1	1	690	1	59	8.55072	0.0855072	40	28
VYXB01000372.1	1	459	15	307	66.8845	2.2549	39.8	19.1
VYXB01000373.1	1	798	6	140	17.5439	0.37594	39.8	5.17
VYXB01000374.1	1	522	1	40	7.66284	0.0766284	40	13
VYXB01000375.1	1	547	2	34	6.21572	0.124314	40	0
VYXB01000376.1	1	1950	4	202	10.359	0.141538	39.8	0
VYXB01000379.1	1	1631	3	127	7.78663	0.0895156	39.9	1
VYXB01000381.1	1	737	38	258	35.0068	3.04749	39.6	32.2
VYXB01000382.1	1	2214	16	323	14.589	0.435411	39.6	26.1
VYXB01000383.1	1	3568	30	456	12.7803	0.470011	39.3	4.23
VYXB01000384.1	1	984	5	176	17.8862	0.265244	39.8	24.8
VYXB01000385.1	1	502	3	65	12.9482	0.368526	39.7	0
VYXB01000386.1	1	453	4	100	22.0751	0.392936	39.6	5.5
VYXB01000387.1	1	451	2	73	16.1863	0.272727	40	9
VYXB01000388.1	1	418	4	92	22.0096	0.375598	39.8	16.5
VYXB01000389.1	1	425	6	142	33.4118	0.705882	39.4	5.67
VYXB01000391.1	1	417	1	74	17.7458	0.177458	40	1
VYXB01000392.1	1	519	3	121	23.3141	0.302505	40	14.3
VYXB01000394.1	1	11210	147	948	8.45674	0.969848	39.5	2.55
VYXB01000396.1	1	1205	2	63	5.22822	0.104564	39.4	20
VYXB01000397.1	1	535	3	113	21.1215	0.633645	39.8	32
VYXB01000399.1	1	604	2	104	17.2185	0.172185	39.1	21.5
VYXB01000400.1	1	1387	11	346	24.9459	0.534247	39.9	20.6
VYXB01000401.1	1	2635	8	272	10.3226	0.171917	39.9	12.9
VYXB01000402.1	1	1021	3	46	4.50539	0.116552	38.1	2
VYXB01000404.1	1	584	3	94	16.0959	0.412671	37.8	17.3
VYXB01000405.1	1	1361	22	557	40.9258	1.16679	39.2	25.1
VYXB01000406.1	1	2900	5	179	6.17241	0.121724	39.4	33.2
VYXB01000410.1	1	569	7	276	48.5062	0.862917	39.5	34.7
VYXB01000411.1	1	498	3	93	18.6747	0.351406	40	22
VYXB01000413.1	1	584	10	188	32.1918	0.895548	39.8	24.2
VYXB01000414.1	1	739	6	51	6.90122	0.261164	39.1	5.5
VYXB01000415.1	1	1072	5	113	10.541	0.19403	39.9	8.4
VYXB01000416.1	1	530	8	297	56.0377	0.841509	39.7	13.6
VYXB01000420.1	1	9929	60	1934	19.4783	0.394803	39.7	22
VYXB01000423.1	1	674	9	267	39.6142	0.799703	39.6	19.6
VYXB01000424.1	1	1211	3	58	4.78943	0.143683	40	3
VYXB01000425.1	1	1408	8	254	18.0398	0.340909	39.5	8.88
VYXB01000426.1	1	662	4	116	17.5227	0.333837	39.9	35.2
VYXB01000427.1	1	1172	5	164	13.9932	0.31058	39.9	18.2
VYXB01000428.1	1	6756	60	626	9.26584	0.521018	39.7	3.53
VYXB01000429.1	1	14420	208	5484	38.0305	0.961859	39.8	16.9
VYXB01000430.1	1	3687	3	153	4.14972	0.0414972	37.2	5.33
VYXB01000431.1	1	3567	3	53	1.48584	0.0381273	39.6	0
VYXB01000433.1	1	491095	4803	150619	30.67	0.657315	39.6	22.8
VYXB01000434.1	1	189000	2274	51718	27.364	0.792519	39.3	16.5
VYXB01000435.1	1	1140310	14066	377715	33.1239	0.782282	39.4	21.2
VYXB01000436.1	1	1200245	12647	388179	32.3416	0.694187	39.5	23.6
VYXB01000437.1	1	269499	3035	82693	30.684	0.707194	39.3	19.5
VYXB01000438.1	1	333609	6109	82730	24.7985	1.37077	39.1	9.31
VYXB01000439.1	1	989881	10678	289090	29.2045	0.703288	39.3	19.5
VYXB01000440.1	1	79863	667	22468	28.1332	0.57099	39.5	21.6
VYXB01000441.1	1	226526	1724	50576	22.3268	0.501691	39.5	17.3
VYXB01000442.1	1	648715	5646	177035	27.2901	0.589717	39.5	20.4
VYXB01000443.1	1	4000	33	241	6.025	0.55325	39.8	2.79
VYXB01000444.1	1	322193	3162	74813	23.2199	0.688482	39.4	15.1
VYXB01000445.1	1	4550	6	149	3.27473	0.0562637	39.3	1
VYXB01000446.1	1	9168	46	1620	17.6702	0.301592	39.6	13
VYXB01000447.1	1	83781	664	20438	24.3946	0.53795	39.6	21.2
VYXB01000448.1	1	62786	1279	14677	23.3762	1.03794	38.4	9.44
VYXB01000449.1	1	187817	1682	48710	25.9348	0.574889	39.4	19.1
VYXB01000450.1	1	111342	2831	30564	27.4506	1.3863	35.8	8.01
VYXB01000451.1	1	216584	6751	56468	26.0721	2.06298	39.4	8.61
VYXB01000452.1	1	754	6	222	29.443	0.535809	38.6	0
VYXB01000453.1	1	482	1	59	12.2407	0.122407	40	12
VYXB01000454.1	1	36648	282	9231	25.1883	0.506003	39.6	17.8
VYXB01000455.1	1	5275	107	2108	39.9621	1.30199	39.5	12.4
